week,type,value
2017 W39,Cleanbot2,23.29
2017 W40,Cleanbot2,21.13
2017 W41,Cleanbot2,21.12
2017 W42,Cleanbot2,22.7
2017 W43,Cleanbot2,17.93
2017 W44,Cleanbot2,22.13
2017 W45,Cleanbot2,21.88
2017 W46,Cleanbot2,20.17
2017 W47,Cleanbot2,18.37
2017 W48,Cleanbot2,23.03
2017 W49,Cleanbot2,21.72
2017 W50,Cleanbot2,21.34
2017 W51,Cleanbot2,19.92
2017 W52,Cleanbot2,22.73
2018 W14,Cleanbot2,24.6
2018 W15,Cleanbot2,19.8
2018 W16,Cleanbot2,19.8
2018 W17,Cleanbot2,20.4
2018 W18,Cleanbot2,21.8
2018 W19,Cleanbot2,18.2
2018 W20,Cleanbot2,19.4
2018 W21,Cleanbot2,21.6
2018 W22,Cleanbot2,21
2018 W23,Cleanbot2,21.2
2018 W24,Cleanbot2,17.8
2018 W25,Cleanbot2,19.8
2018 W26,Cleanbot2,20.4
2018 W27,Cleanbot2,21
2018 W28,Cleanbot2,22
2018 W29,Cleanbot2,24.2
2018 W30,Cleanbot2,20
2018 W31,Cleanbot2,20.8
2018 W32,Cleanbot2,18.6
2018 W33,Cleanbot2,19.6
2018 W34,Cleanbot2,19.2
2018 W35,Cleanbot2,21.8
2018 W36,Cleanbot2,18.2
2018 W37,Cleanbot2,21.2
2018 W38,Cleanbot2,21.6
2018 W39,Cleanbot2,23.2
2018 W40,Cleanbot2,19.2
2018 W41,Cleanbot2,21
2018 W42,Cleanbot2,22
2018 W43,Cleanbot2,21
2018 W44,Cleanbot2,24.2
2018 W45,Cleanbot2,21.4
2018 W46,Cleanbot2,22.8
2018 W47,Cleanbot2,18.4
2018 W48,Cleanbot2,20.2
2018 W49,Cleanbot2,20.2
2018 W50,Cleanbot2,22
2018 W51,Cleanbot2,21
2018 W52,Cleanbot2,23.2
2019 W01,Cleanbot2,21.64
2019 W02,Cleanbot2,18.11
2019 W03,Cleanbot2,22.16
2019 W04,Cleanbot2,22.74
2019 W05,Cleanbot2,21.39
2019 W06,Cleanbot2,23.58
2019 W07,Cleanbot2,18.02
2019 W08,Cleanbot2,21.58
2019 W09,Cleanbot2,22.59
